Indicator,Economy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GDP,01_AUS,347420465,358188872,368749588,360991765,379601300,399582173,417731196,429187886,453331010,470383417,515317626,513320531,515592569,536417759,557759322,579117983,601579834,625441020,654065825,686887267,713972531,727774374,756907345,779506667,810695552,836559304,860269340,892764544,925419788,943213087,962576705,986170471,1024551635,1051594494,1078497831,1103854786,1135064189,1157283926,1201142573,1245039044,1289224526,1333639686,1378646228,1424442629,1471205820,1519006309,1566859653,1615958599,1666222278,1717419964,1769393796,1821332122,1874054169,1927569372,1981931991,2037127705,2091895589,2147448007,2203751837,2260727484,2318290528,2375138639,2432794114,2491262884,2550592656,2610851825,2670775153,2731887132,2794170024,2857579294,2922072575
GDP,02_BD,17855416,14325028,14898711,14977505,15069294,14844799,14440412,14728067,14886686,14723781,23088497,23814848,24948096,25024081,25811188,26967196,27743397,27335244,27182575,28012230,28810416,29600986,30747165,31640049,31799615,31922841,33326718,33378235,32730792,32153246,32988898,34224437,34536852,33802589,33008313,32821218,32012006,32437366,33069907,33676517,34259481,34761332,35259303,35744984,36216047,36670805,37067939,37462768,37858011,38255907,38654200,38979888,39317569,39663549,40018318,40377630,40672792,40982660,41303882,41631876,41964992,42231768,42511378,42800472,43100190,43407732,43644785,43894956,44156602,44432251,44714493
GDP,03_CDA,675111424,697284324,675883914,694219534,735383384,772485749,793596223,828151423,870763088,890380142,916554841,897071706,904992634,929022323,970767705,996762034,1012820349,1056167160,1097165026,1153813970,1213612575,1235103458,1272280273,1295210241,1335179927,1377924138,1414072774,1443241528,1457679153,1414683628,1458305599,1504114172,1530368068,1568244706,1613029685,1629174217,1652212414,1702561120,1736225571,1771168763,1807362860,1844712460,1883170718,1922752078,1963133817,2004109568,2045710589,2087986905,2130945077,2174536544,2218710070,2263425517,2308694906,2354538825,2400973842,2448001199,2495626479,2543873074,2592766017,2642312764,2692521059,2743424646,2795096455,2847594538,2900951807,2955183143,3010304987,3066353016,3123340480,3181260928,3240094122
GDP,04_CHL,75244937,78802560,70661595,67980359,73394748,78613636,83006566,88473325,94934831,104953436,125464694,135256451,150360144,160267049,168328798,183366108,195840351,210387157,219485517,218581025,230224702,237829133,245218414,255250416,273652796,289368212,307648113,322739251,334130431,328903831,348125554,369399224,389046195,404783130,411934595,421430747,426765502,433123907,457489275,482243933,507191164,532183278,557093007,581818869,606298880,630504357,654435101,678110766,701559226,724816239,747923989,770928879,793879791,816823611,839806564,862870340,886049881,909375170,932865121,956523450,980341788,1004308061,1028412733,1052638806,1076959404,1101337868,1125734717,1150114767,1174440897,1198676569,1222783525
GDP,05_PRC,614872138,647379391,705677085,782448850,902916289,1026672990,1118457432,1249061845,1391097256,1449164633,1825795839,1995486690,2279168343,2595233745,2933967773,3255214575,3578404403,3908718655,4215068932,4538258760,4923625388,5334251341,5821302945,6405505799,7053180804,7856945485,8856308018,10116683578,11093377485,12136134243,13426950528,14707404013,15862856222,17093438732,18340860791,19606417751,20920047740,22363531034,23659612528,24947921526,26230105407,27506861830,28778357427,30044823379,31306912044,32566129111,33825345520,35088933722,36362312703,37651695152,38964095929,40306889050,41686988529,43109576007,44577044521,46088498358,47639385219,49221380886,50822941908,52430130974,54027947894,55602066714,57140385424,58633474425,60075231645,61463049767,62797983091,64084442360,65329425226,66541967927,67732040674
GDP,06_HKC,85158630,92654618,95317441,100678413,110864549,111838877,124301087,141264792,154468981,158505430,162136327,171381298,182066812,193357083,205028346,209895285,218833909,229993805,216464023,221890122,238894600,240234490,244214305,251678273,273574347,293786692,314447918,334776452,341900297,333492799,356062533,373205831,379551479,391323225,402133203,411735524,420641047,436589016,449159793,461859171,474571198,487075456,499279321,511253162,523237831,535416628,547357428,559472253,571819963,584393978,597273775,609985677,623109485,636582270,650327773,664226402,678403630,692750038,707285171,721959258,736763675,751850965,767026005,782292047,797760612,813367133,830635372,848254575,866084189,883989108,901931121
GDP,07_INA,246867132,266902407,269765376,292463797,313326797,324093033,343272457,361291604,384047185,418680446,884274956,945395890,1006823049,1072230383,1153076244,1247859197,1345419164,1408652234,1223742322,1233423667,1294108947,1341259372,1401609008,1468611092,1542495065,1630302696,1719984861,1829118283,1939116035,2028875219,2155149454,2288117524,2426092170,2560916509,2689133108,2820263905,2962215673,3112331292,3295609280,3488936656,3693734814,3911045297,4141602277,4385948175,4644490992,4917539393,5205336959,5508052854,5825728932,6158276587,6505538184,6867313616,7243345960,7633308546,8036803252,8453413859,8882770875,9324649631,9778929011,10245538372,10724462970,11215778671,11719616575,12236108165,12765364531,13307482936,13862577929,14430737645,15011947341,15606037447,16212728393
GDP,08_JPN,2467546820,2571706518,2660617879,2742933694,2865668388,3045585738,3127382353,3252503389,3481900817,3665877717,3980922738,4116970644,4151885419,4130381981,4171399415,4285785040,4418644346,4466190958,4415794020,4404668239,4527101843,4545497083,4550860441,4620407607,4722273174,4800789013,4868960531,4949502092,4895377277,4630223435,4824310329,4818742045,4890786556,4988615386,5007308700,5075098803,5122713069,5210443687,5250003682,5296109833,5347531502,5403147929,5462306521,5524722222,5590267170,5658856244,5730421375,5804855810,5881862362,5960930694,6041482769,6122239375,6201587220,6279518300,6356080281,6431338777,6505342764,6578159613,6649849253,6720513127,6790328495,6859623800,6928927126,6998793709,7069777294,7142438952,7217398990,7295399996,7377138739,7463193178,7554033544
GDP,09_ROK,247866534,263187635,282663779,313559609,340063509,364941898,405487945,452009348,501244250,535756378,525457624,579863250,615672738,657826274,718386692,787140638,846920105,897076285,847995274,943891850,1028128780,1074654762,1154527763,1188392578,1246621919,1295535341,1362594243,1437038168,1477695185,1488150025,1584832060,1643180641,1680848879,1729529707,1787321039,1837191517,1891008456,1948925666,2013342662,2078130276,2143183904,2208267338,2273136741,2337591253,2401515619,2464833932,2527488781,2589456879,2650728490,2711324850,2771278698,2830634441,2889462983,2947844914,3005866379,3063609306,3121150744,3178570846,3235926536,3293225172,3350439908,3407529375,3464460649,3521198316,3577691327,3633893874,3689785950,3745392658,3800756553,3855904183,3910867882
GDP,10_MAS,83600259,89402664,94713748,100633836,108445228,107228124,108463462,114307425,125665829,137047678,200554123,219697951,239218373,262888896,287106331,315326256,346867398,372267602,344870884,366037720,398464520,400527272,422119650,446554043,476845759,502271838,530322952,563726860,590964844,582020422,625234550,658333922,694367528,726959213,770625631,809372737,843527063,893310084,936244052,980686103,1026535142,1073995475,1122952095,1173554862,1225847959,1279938307,1334807058,1391445555,1449800778,1510084857,1572391528,1636594090,1702987236,1771408428,1842057125,1914777127,1988510126,2064280352,2142014094,2221550062,2302929229,2385227212,2469225371,2555241485,2642997976,2732576904,2821931807,2912589840,3004664171,3097914070,3192193894
GDP,11_MEX,821671040,893927626,888367121,851116920,881982276,905173493,871739306,888612058,900215807,937987309,940509384,980220049,1015788889,1321231084,1386514177,1299285370,1387289329,1482274980,1558818551,1601741466,1680906796,1674109375,1673442335,1697646715,1764204496,1804918932,1886051444,1929269289,1951332115,1848189692,1942782224,2013946491,2087300921,2115564895,2175758719,2246916302,2312376350,2359469879,2423064928,2488662577,2556590943,2627008540,2700146947,2776111140,2854917200,2937112495,3023294578,3114081122,3210039340,3311660729,3419361890,3533473991,3654226262,3781732343,3916000285,4056930894,4204318922,4357867161,4517210602,4681952918,4851673587,5025961192,5204430223,5386696996,5572396061,5761177263,5952481071,6145357455,6339669440,6535297420,6732144268
GDP,12_NZ,65153924,68226826,68458560,70033554,73535243,74223543,76428512,75873104,77556853,78247073,83052842,81688662,82723247,88127414,92724484,96968685,100224850,103240011,104340666,109759848,112272733,116536454,122433889,127992718,132177606,136564457,140078141,145345665,143099309,145841185,147244406,151213818,154993282,158121062,163726440,170986553,176922277,182280646,186682811,191405456,196388262,201568161,206897456,212343571,217887368,223518971,229235922,235041013,240935991,246919467,252990272,259149179,265399963,271747490,278196682,284752565,291419540,298201206,305098762,312109627,319230300,326460074,333803580,341264267,348841409,356531648,364331912,372242296,380262050,388389002,396619420
GDP,13_PNG,7395396,7375056,7401073,7639610,7612497,7917000,8288537,8518157,8765963,8641509,10786809,11816615,13453108,15901881,16846788,16288747,17548469,16863309,16227711,16528825,16116457,16096910,16071332,16419132,16865925,17936034,18347570,20383743,20323759,21706903,23904659,24169358,25292851,26261550,30311462,31917663,32524099,33239629,34876684,36665141,38639171,40725454,43001855,45470345,48128000,50979655,53924221,57051063,60365946,63871411,67577870,71378002,75372457,79568047,83972633,88601819,93356140,98328701,103540639,108995767,114708172,120512161,126570927,132883665,139463662,146324400,153271845,160485366,167977746,175756311,183827870
GDP,14_PE,125218997,134182912,133351254,117593546,123686683,127129577,139822568,150989036,137836386,121694730,122184473,124896063,124220988,130734611,146825906,157707754,162121952,172622306,171946425,174516870,179219003,180326383,190160535,198080765,207902012,220968779,237605295,257845435,281377875,284461280,308163900,327662023,347779569,368133432,376880366,389134140,404510033,414733744,432931493,451589302,470556533,489665503,508982911,528560340,548354167,568364402,588592038,609064073,629829321,650891241,672290456,693843365,715724740,737936626,760462646,783318477,806433252,829886119,853642220,877682861,902032396,927409574,953146555,979251410,1005700078,1032497892,1059931689,1087807946,1115972908,1144533167,1173461229
GDP,15_RP,157688155,163175595,169168011,172415678,159842795,148196079,153273535,159879566,170661859,181235665,261760309,260246458,261125058,266651266,278350919,291374102,308407464,324399508,322528637,332468700,347134633,357180665,370203126,388603587,414630792,434440474,457218016,487470588,507714056,513544300,552739361,572968249,611264409,654444275,694661831,736803830,787464361,840102554,883439610,929829707,979489573,1032195558,1088467794,1148052439,1210949686,1277063575,1345597406,1417139493,1491768516,1569448557,1650104419,1733122607,1819035626,1907918139,1999717837,2094608497,2191042509,2290316706,2392428470,2497461520,2605235720,2714859752,2827222410,2942324096,3060223209,3180695029,3302176887,3426215905,3552719374,3681638591,3812881011
GDP,16_RUS,1879583249,1919053855,1974523588,2037704922,2066230752,2088957820,2176693970,2204991485,2238062365,2301884485,3224936158,3062175582,2617208589,2390334807,2089875555,2003280967,1931162853,1958199133,1854414579,1973097112,2170406823,2280923596,2389123082,2563430022,2747380458,2922558574,3160847399,3430628260,3610666037,3328279998,3478176597,3661994244,3795873150,3863642942,3892179838,3782099620,3773593262,3831919060,3970161309,4100894051,4227123346,4351665391,4476521508,4602990138,4731838474,4863433859,4997824368,5134736241,5273529221,5413199016,5552444156,5689705503,5823179932,5950780590,6070005041,6179099594,6276531456,6361060976,6431949607,6489104044,6533191263,6565698697,6588875855,6605650713,6619515313,6634323157,6654065263,6682588232,6723388366,6779441533,6853000162
GDP,17_SIN,43565294,46898900,49221693,54074169,59172628,60069938,62218589,69256066,76532623,83719016,110272033,117646008,125984288,140519583,155871988,166826743,179392023,194265627,189942770,201520171,219450517,217360712,226515264,236561959,259151676,278559953,303240911,330870789,336785502,334753377,385771054,410270113,427022663,448848164,466280921,476730547,488157880,505822080,527087518,548996855,570767354,592633177,614391089,636166049,658110871,680301410,702718125,725193852,747750054,770432582,793250941,815107528,837079274,859222549,881486976,903975793,927446501,951280436,975362265,999646305,1024097294,1048308222,1072518765,1096849594,1121332634,1146133994,1171355261,1197216295,1223451954,1249956195,1276627451
GDP,18_CT,161122167,171450361,178250178,192676295,210789245,219083036,242713233,268880953,283951552,312728952,371750375,399425851,429483927,455960019,488064703,516012759,541876151,571729306,593032529,628666964,662000043,650059607,685988330,712263136,759246130,799043410,842725935,896011412,886001896,881882613,971617961,997904591,1016230750,1040150331,1083811934,1103089000,1118806117,1144778022,1174226278,1204332586,1235324727,1265025797,1295170881,1322525180,1349552027,1376402957,1400846239,1425027439,1446775432,1467079314,1485206001,1502267630,1520444892,1535637137,1549083343,1560158588,1570966686,1582813217,1591959037,1599821357,1606341777,1611318640,1616037674,1619098482,1621472722,1622919032,1624577160,1625374831,1625967558,1626451438,1625961729
GDP,19_THA,126156764,133677480,140922646,148898835,157578837,165016085,174259678,190962300,216460950,242983592,396505938,430439948,465234079,503620744,543894815,588060498,621299877,604191822,558069428,583586027,609588730,630584452,669358332,717480711,762605143,794541787,834013962,879343393,894517940,888339206,955085378,963107708,1032863544,1060620512,1071061409,1103409327,1139630759,1184110263,1226986583,1271764010,1318616112,1368016320,1419641224,1473635212,1529900194,1588612084,1649893673,1713549542,1779582944,1847832012,1918306719,1991210797,2066292733,2143526174,2222858561,2304296700,2388871342,2475636146,2564705606,2655836453,2749159425,2844307969,2941518354,3041043141,3142837947,3246862848,3353241131,3462032920,3573490528,3687566327,3804488729
GDP,20_USA,6997861906,7173945105,7031989622,7352585554,7889088776,8220310084,8506837494,8784795509,9152991387,9483806486,9748318567,9741096571,10087431143,10364417549,10782895773,11076080098,11496514943,12012366615,12546906234,13134753835,13672251138,13805689826,14052277074,14446693008,14993607656,15495176228,15908374599,16191316215,16144098863,15696014624,16093425254,16351154165,16714808879,16995171638,17431810499,17930636927,18196956946,18610635383,19124824557,19629753518,20133209032,20639388992,21150427784,21667511159,22191525582,22723298420,23263858108,23814335904,24375097729,24942329790,25510844731,26080027713,26649525333,27218948086,27787665911,28355032678,28920562213,29484044064,30045410866,30604507656,31161256121,31715955028,32269294086,32821922065,33374286046,33926657203,34479353203,35032786923,35587155727,36142430310,36698375432
GDP,21_VN,40940308,43313748,46843380,50166230,55573162,57828271,59369592,61305758,64257184,68814062,104421340,110645733,120212216,129916624,141399930,154890162,169356931,183163050,193721403,202968862,216745001,230167788,244716281,261599413,281314619,302546130,323657662,346732850,366364071,386140028,410942722,436586792,459496104,484409445,513394833,547685956,581701700,621328648,652687294,685763561,720781018,757623258,796574601,837478655,880373555,925207392,972626941,1022181442,1073836905,1127696005,1183770150,1242320367,1303166447,1366292796,1431658590,1499128156,1568950797,1641056954,1715334213,1791710292,1870062523,1949720410,2031345505,2114859365,2199947176,2286707814,2374391455,2463571507,2554307334,2646882824,2741544993
